DD	PDDS.0	PDDS.1	PDDS.2	PDDS.3	PDDS.4	PDDS.5	PDDS.6	PDDS.7	PDDS.8
0	2.19	5.34	6.74	7.84	8.87	9.39	9.67	9.86	9.97
1	1.99	4.91	6.30	7.51	8.67	9.32	9.65	9.85	9.97
2	1.89	4.67	6.03	7.29	8.54	9.26	9.62	9.83	9.96
3	1.78	4.42	5.76	7.03	8.34	9.15	9.58	9.82	9.97
4	1.58	4.01	5.34	6.65	8.07	8.99	9.48	9.78	9.96
5	1.41	3.63	4.91	6.27	7.77	8.79	9.37	9.73	9.96
6	1.32	3.38	4.60	5.96	7.51	8.61	9.26	9.69	9.96
7	1.18	3.09	4.28	5.66	7.27	8.43	9.15	9.65	9.96
8	1.07	2.84	4.00	5.42	7.07	8.27	9.03	9.60	9.96
9	1.01	2.68	3.81	5.24	6.93	8.18	8.97	9.59	9.96
10	0.94	2.51	3.62	5.03	6.73	8.01	8.83	9.53	9.96
11	0.85	2.33	3.44	4.89	6.62	7.92	8.76	9.49	9.96
12	0.82	2.24	3.34	4.77	6.47	7.78	8.68	9.47	9.96
13	0.76	2.11	3.20	4.61	6.28	7.63	8.58	9.43	9.96
14	0.72	2.01	3.08	4.42	6.04	7.44	8.45	9.37	9.95
15	0.67	1.91	2.98	4.32	5.94	7.38	8.44	9.38	9.95
16	0.63	1.81	2.83	4.08	5.66	7.15	8.27	9.31	9.95
17	0.58	1.71	2.71	3.95	5.55	7.04	8.19	9.27	9.95
18	0.55	1.63	2.59	3.81	5.43	6.95	8.09	9.22	9.95
19	0.50	1.49	2.39	3.65	5.32	6.84	8.00	9.17	9.94
20	0.48	1.44	2.29	3.52	5.18	6.70	7.87	9.10	9.93
21	0.44	1.34	2.19	3.44	5.11	6.63	7.82	9.08	9.93
22	0.41	1.27	2.09	3.26	4.88	6.44	7.68	9.02	9.93
23	0.40	1.24	2.04	3.22	4.82	6.36	7.63	8.99	9.92
24	0.38	1.20	2.04	3.22	4.76	6.28	7.58	8.98	9.93
25	0.35	1.12	1.91	3.10	4.65	6.19	7.49	8.94	9.93
26	0.37	1.14	1.92	3.05	4.59	6.14	7.44	8.90	9.92
27	0.36	1.08	1.81	2.99	4.57	6.12	7.41	8.87	9.91
28	0.34	1.01	1.72	2.84	4.40	5.97	7.29	8.81	9.90
29	0.33	0.97	1.62	2.67	4.23	5.82	7.12	8.73	9.90
30	0.31	0.95	1.63	2.63	4.15	5.79	7.10	8.71	9.88
31	0.29	0.88	1.55	2.55	4.04	5.66	7.00	8.67	9.88
32	0.28	0.89	1.61	2.57	4.01	5.60	6.94	8.66	9.89
33	0.28	0.89	1.59	2.52	3.93	5.54	6.95	8.68	9.89
34	0.30	0.93	1.64	2.64	4.04	5.63	7.03	8.70	9.88
35	0.29	0.91	1.60	2.59	3.98	5.51	6.92	8.67	9.89
36	0.26	0.84	1.53	2.54	3.93	5.45	6.86	8.65	9.89
37	0.27	0.85	1.49	2.44	3.81	5.33	6.73	8.55	9.86
38	0.30	0.90	1.55	2.53	3.93	5.32	6.60	8.48	9.86
39	0.28	0.88	1.50	2.39	3.74	5.22	6.51	8.41	9.86
40	0.26	0.83	1.44	2.29	3.61	5.11	6.45	8.40	9.87
41	0.29	0.91	1.49	2.27	3.56	5.02	6.36	8.37	9.87
42	0.27	0.85	1.43	2.25	3.53	4.96	6.34	8.39	9.89
43	0.22	0.72	1.28	2.04	3.26	4.74	6.22	8.34	9.87
44	0.19	0.60	1.10	1.91	3.01	4.25	5.76	8.16	9.85
45	0.20	0.62	1.13	1.88	2.88	4.08	5.62	8.10	9.86
