DD	EDSS.0.0	EDSS.1.0	EDSS.1.5	EDSS.2.0	EDSS.2.5	EDSS.3.0	EDSS.3.5	EDSS.4.0	EDSS.4.5	EDSS.5.0	EDSS.5.5	EDSS.6.0	EDSS.6.5	EDSS.7.0	EDSS.7.5	EDSS.8.0	EDSS.8.5	EDSS.9.0	EDSS.9.5
1	0.91	2.83	4.31	5.58	6.79	7.58	8.22	8.64	8.88	9.03	9.17	9.46	9.78	9.90	9.93	9.97	9.99	9.99	10.0
2	0.86	2.71	4.18	5.45	6.61	7.40	8.05	8.50	8.77	8.93	9.07	9.38	9.74	9.88	9.93	9.96	9.99	9.99	10.0
3	0.80	2.55	3.98	5.23	6.37	7.16	7.85	8.32	8.61	8.77	8.93	9.27	9.67	9.84	9.91	9.95	9.98	9.99	10.0
4	0.70	2.29	3.65	4.84	5.93	6.73	7.45	7.97	8.29	8.48	8.66	9.07	9.57	9.78	9.87	9.93	9.97	9.99	10.0
5	0.64	2.09	3.36	4.51	5.57	6.35	7.06	7.59	7.95	8.17	8.41	8.87	9.43	9.70	9.81	9.90	9.97	9.99	10.0
6	0.56	1.88	3.09	4.21	5.26	6.08	6.82	7.36	7.70	7.92	8.17	8.69	9.31	9.61	9.75	9.87	9.95	9.98	10.0
7	0.49	1.67	2.80	3.90	4.93	5.75	6.51	7.07	7.40	7.65	7.92	8.48	9.17	9.53	9.70	9.85	9.94	9.97	9.99
8	0.46	1.55	2.58	3.62	4.65	5.46	6.19	6.75	7.10	7.38	7.69	8.29	9.04	9.44	9.63	9.81	9.92	9.96	9.99
9	0.43	1.44	2.41	3.41	4.43	5.23	5.96	6.53	6.89	7.17	7.48	8.08	8.87	9.33	9.56	9.77	9.90	9.95	9.99
10	0.36	1.28	2.19	3.13	4.11	4.92	5.69	6.26	6.62	6.91	7.21	7.83	8.69	9.21	9.48	9.72	9.88	9.94	9.98
11	0.33	1.18	2.05	2.97	3.92	4.72	5.46	6.06	6.46	6.78	7.09	7.71	8.60	9.15	9.43	9.69	9.88	9.95	9.98
12	0.31	1.11	1.93	2.79	3.72	4.51	5.23	5.82	6.24	6.58	6.92	7.57	8.50	9.07	9.36	9.64	9.86	9.94	9.98
13	0.27	1.02	1.83	2.66	3.54	4.35	5.07	5.67	6.09	6.42	6.74	7.41	8.35	8.96	9.29	9.61	9.85	9.94	9.99
14	0.24	0.92	1.68	2.48	3.34	4.13	4.87	5.51	5.96	6.30	6.64	7.34	8.32	8.93	9.26	9.59	9.84	9.94	9.99
15	0.23	0.85	1.54	2.30	3.13	3.91	4.64	5.29	5.79	6.16	6.51	7.23	8.25	8.89	9.22	9.55	9.81	9.93	9.99
16	0.21	0.77	1.39	2.10	2.85	3.57	4.29	4.92	5.42	5.80	6.16	6.96	8.06	8.73	9.10	9.49	9.78	9.92	9.99
17	0.19	0.72	1.30	1.95	2.66	3.39	4.14	4.79	5.26	5.62	5.97	6.79	7.95	8.63	9.02	9.44	9.77	9.91	9.99
18	0.20	0.70	1.22	1.84	2.53	3.23	3.95	4.58	5.04	5.41	5.75	6.59	7.81	8.53	8.91	9.37	9.75	9.91	9.99
19	0.18	0.66	1.18	1.77	2.41	3.10	3.80	4.36	4.79	5.16	5.52	6.37	7.61	8.37	8.79	9.30	9.72	9.89	9.98
20	0.15	0.62	1.15	1.72	2.34	3.00	3.69	4.25	4.63	4.96	5.32	6.20	7.45	8.22	8.67	9.22	9.67	9.87	9.98
21	0.14	0.57	1.05	1.61	2.25	2.91	3.59	4.15	4.53	4.85	5.20	6.04	7.30	8.10	8.53	9.13	9.64	9.85	9.97
22	0.14	0.54	0.97	1.51	2.12	2.74	3.39	3.93	4.33	4.65	5.02	5.87	7.13	7.95	8.43	9.05	9.60	9.84	9.97
23	0.12	0.49	0.89	1.41	1.99	2.58	3.24	3.84	4.25	4.55	4.89	5.78	7.07	7.89	8.36	9.00	9.56	9.81	9.96
24	0.11	0.44	0.78	1.29	1.86	2.45	3.12	3.72	4.15	4.44	4.76	5.65	6.98	7.81	8.27	8.91	9.49	9.77	9.95
25	0.09	0.38	0.72	1.21	1.79	2.37	3.04	3.65	4.07	4.37	4.66	5.54	6.90	7.76	8.25	8.92	9.51	9.79	9.95
26	0.08	0.37	0.72	1.18	1.71	2.30	2.99	3.61	4.04	4.36	4.70	5.58	6.92	7.80	8.31	8.93	9.49	9.79	9.96
27	0.07	0.35	0.69	1.13	1.64	2.21	2.86	3.45	3.86	4.21	4.59	5.45	6.79	7.71	8.24	8.89	9.49	9.78	9.96
28	0.06	0.29	0.57	0.93	1.34	1.81	2.38	2.91	3.29	3.62	4.00	4.86	6.26	7.33	8.00	8.79	9.46	9.79	9.97
29	0.06	0.28	0.56	0.91	1.30	1.76	2.30	2.82	3.20	3.53	3.91	4.77	6.19	7.28	7.97	8.78	9.47	9.80	9.97
30	0.07	0.29	0.56	0.89	1.26	1.70	2.23	2.75	3.12	3.46	3.86	4.72	6.14	7.23	7.92	8.75	9.45	9.79	9.97
